row_idx,col_idx,nH,colDen,tg_guess,final_Tg,attempt_number,attempt_type,converged,repeat_equilibrium,co_int_TB,error_message
0,0,10.0,1e+18,5.12,53857.49758393381,1,successful,True,0,5.10628358071029e-08,
0,1,10.0,1.1497569953977403e+18,5.12,53854.81642407822,1,successful,True,0,5.875973173236995e-08,
0,2,10.0,1.3219411484660288e+18,5.12,53851.73399668139,1,successful,True,0,6.761729683954157e-08,
0,3,10.0,1.5199110829529393e+18,5.12,53848.19026264686,1,successful,True,0,7.781071199141692e-08,
0,4,10.0,1.747528400007683e+18,5.12,53844.11620879678,1,successful,True,0,8.954164863256418e-08,
0,5,10.0,2.0092330025650542e+18,5.12,53839.432509479244,1,successful,True,0,1.0304229027001668e-07,
0,6,10.0,2.310129700083158e+18,5.12,53834.04798951403,1,successful,True,0,1.1857997023222036e-07,
0,7,10.0,2.6560877829466947e+18,5.12,53827.85785930492,1,successful,True,0,1.3646252151150846e-07,
0,8,10.0,3.0538555088334126e+18,5.12,53820.74168876307,1,successful,True,0,1.5704444857704246e-07,
0,9,10.0,3.511191734215142e+18,5.12,53812.56108190359,1,successful,True,0,1.807340538354892e-07,
0,10,10.0,4.0370172585965496e+18,5.12,53803.15700863274,1,successful,True,0,2.0800166621239104e-07,
0,11,10.0,4.641588833612792e+18,5.12,53792.34674410882,1,successful,True,0,2.393891505214837e-07,
0,12,10.0,5.336699231206302e+18,5.12,53779.92035922065,1,successful,True,0,2.7552090152643585e-07,
0,13,10.0,6.135907273413189e+18,5.12,53765.63669798601,1,successful,True,0,3.1711656545327407e-07,
0,14,10.0,7.054802310718631e+18,5.12,53749.21876904883,1,successful,True,0,3.650057697589247e-07,
0,15,10.0,8.111308307896889e+18,5.12,53730.34846881258,1,successful,True,0,4.2014519568895193e-07,
0,16,10.0,9.32603346883218e+18,5.12,53708.6605431011,1,successful,True,0,4.83638385328581e-07,
0,17,10.0,1.0722672220103254e+19,5.12,53683.73568250867,1,successful,True,0,5.56758748138172e-07,
0,18,10.0,1.2328467394420634e+19,5.12,53655.09263384004,1,successful,True,0,6.409763206059406e-07,
0,19,10.0,1.4174741629268077e+19,5.12,53622.17919628458,1,successful,True,0,7.379889358052659e-07,
0,20,10.0,1.62975083462064e+19,5.12,53584.36195637698,1,successful,True,0,8.4975859200067e-07,
0,21,10.0,1.8738174228603867e+19,5.12,53540.91460060941,1,successful,True,0,9.785539688588284e-07,
0,22,10.0,2.1544346900318777e+19,5.12,53491.00462919723,1,successful,True,0,1.127000239555767e-06,
0,23,10.0,2.4770763559917138e+19,5.12,53433.67827958045,1,successful,True,0,1.2981375588229929e-06,
0,24,10.0,2.848035868435793e+19,5.12,53367.8434546279,1,successful,True,0,1.4954899415990263e-06,
0,25,10.0,3.2745491628777316e+19,5.12,53292.25043956726,1,successful,True,0,1.7231466081423927e-06,
0,26,10.0,3.764935806792456e+19,5.12,53205.47018510202,1,successful,True,0,1.985858359451223e-06,
0,27,10.0,4.328761281083062e+19,5.12,53105.8666154273,1,successful,True,0,2.299074450993217e-06,
0,28,10.0,4.9770235643320934e+19,5.12,52991.57674904334,1,successful,True,0,2.67124101878839e-06,
0,29,10.0,5.72236765935022e+19,5.12,52860.47816618464,1,successful,True,0,3.1045973096557434e-06,
0,30,10.0,6.579332246575709e+19,5.12,52710.15118228617,1,successful,True,0,3.6095198404445245e-06,
0,31,10.0,7.56463327554629e+19,5.12,52537.84462726668,1,successful,True,0,4.1982500210105066e-06,
0,32,10.0,8.697490026177798e+19,5.12,52340.43587716867,1,successful,True,0,4.885263892082715e-06,
0,33,10.0,1e+20,5.12,52114.38787792687,1,successful,True,0,5.687726370356867e-06,
0,34,10.0,1.1497569953977403e+20,5.12,51855.703600072025,1,successful,True,0,6.626052587810523e-06,
0,35,10.0,1.3219411484660287e+20,5.12,51559.878680265276,1,successful,True,0,7.724606205674721e-06,
0,36,10.0,1.5199110829529268e+20,5.12,51221.853433899334,1,successful,True,0,9.012574395441534e-06,
0,37,10.0,1.747528400007683e+20,5.12,50835.96599146293,1,successful,True,0,1.0525072180610137e-05,
0,38,10.0,2.009233002565054e+20,5.12,50395.909053077005,1,successful,True,0,1.2304547861059661e-05,
0,39,10.0,2.310129700083158e+20,5.12,49894.693707485676,1,successful,True,0,1.4402586634262725e-05,
0,40,10.0,2.6560877829466948e+20,5.12,49324.624961400164,1,successful,True,0,1.68822468402253e-05,
0,41,10.0,3.053855508833413e+20,5.12,48677.29510718068,1,successful,True,0,1.9821115700269805e-05,
0,42,10.0,3.5111917342151416e+20,5.12,47943.60284500269,1,successful,True,0,2.3315348737282422e-05,
0,43,10.0,4.03701725859655e+20,5.12,47113.806073938664,1,successful,True,0,2.754713149973766e-05,
0,44,10.0,4.641588833612792e+20,5.12,46177.600363743775,1,successful,True,0,3.368584078097226e-05,
0,45,10.0,5.336699231206302e+20,5.12,45124.36887659634,1,successful,True,0,4.1310011349707736e-05,
0,46,10.0,6.135907273413189e+20,5.12,43943.34284956291,1,successful,True,0,5.082725695721119e-05,
0,47,10.0,7.054802310718631e+20,5.12,42623.97655829651,1,successful,True,0,6.277735724893487e-05,
0,48,10.0,8.11130830789689e+20,5.12,41156.41384752674,1,successful,True,0,7.788412132995883e-05,
0,49,10.0,9.32603346883218e+20,5.12,39532.09463289241,1,successful,True,0,9.713194970525499e-05,
0,50,10.0,1.0722672220103254e+21,5.12,37744.5172768074,1,successful,True,0,0.00012188119885070644,
0,51,10.0,1.2328467394420634e+21,5.12,35790.16441822174,1,successful,True,0,0.00015404593370006413,
0,52,10.0,1.4174741629268077e+21,5.12,33669.58517111467,1,successful,True,0,0.0001963744534457298,
0,53,10.0,1.6297508346206403e+21,5.12,31388.603702822216,1,successful,True,0,0.00025290351787997254,
0,54,10.0,1.8738174228603868e+21,5.12,28959.59151724085,1,successful,True,0,0.0003297141732056861,
0,55,10.0,2.154434690031878e+21,5.12,26402.697884751353,1,successful,True,0,0.00043622638515125345,
