row_idx,col_idx,nH_cgs,colDen_cgs,final_Tg,attempt_idx,tg_guess,attempt_final_Tg,converged,message,duration_s
0,43,1e-05,7.906043210907734e+22,10.0,1,10.0,10.0,False,Success,4.410680866974872
0,44,1e-05,1.2067926406393363e+23,10.0,1,10.0,10.0,False,Success,4.9412025199853815
0,45,1e-05,1.8420699693267165e+23,10.0,1,10.0,10.0,False,Success,5.315497653034981
0,46,1e-05,2.8117686979742366e+23,10.0,1,10.0,10.0,False,Success,5.05173782503698
0,47,1e-05,4.2919342601287606e+23,10.0,1,10.0,10.0,False,Success,4.576073648000602
0,48,1e-05,6.551285568595496e+23,10.0,1,10.0,10.0,False,Success,4.178011317970231
0,49,1e-05,1e+24,10.0,1,10.0,10.0,False,Success,4.317285449011251
8,39,0.00042919342601287783,1.4563484775012385e+22,11198.161446930088,1,10.0,11198.161446930088,False,Success,321.96627692197217
8,40,0.00042919342601287783,2.222996482526191e+22,10923.780726241317,1,10.0,10923.780726241317,False,Success,302.6246849989984
9,39,0.0006866488450042998,1.4563484775012385e+22,44.46750948053788,1,10.0,44.46750948053788,False,Success,308.6979746259749
10,38,0.0010985411419875584,9.540954763499963e+21,11231.971988358328,1,10.0,11231.971988358328,False,Success,321.33783422998386
10,39,0.0010985411419875584,1.4563484775012385e+22,10910.155467507262,1,10.0,10910.155467507262,False,Success,329.0678603729466
10,40,0.0010985411419875584,2.222996482526191e+22,10791.368724353224,1,10.0,10791.368724353224,False,Success,300.21169500402175
11,38,0.001757510624854793,9.540954763499963e+21,9032.400210157351,1,10.0,9032.400210157351,False,Success,310.8902287799865
11,39,0.001757510624854793,1.4563484775012385e+22,10674.246391984758,1,10.0,10674.246391984758,False,Success,333.09980365098454
11,40,0.001757510624854793,2.222996482526191e+22,10581.265893323776,1,10.0,10581.265893323776,False,Success,303.02908280905103
12,38,0.002811768697974231,9.540954763499963e+21,10998.236785902825,1,10.0,10998.236785902825,False,Success,339.16482756100595
12,39,0.002811768697974231,1.4563484775012385e+22,10386.292647129701,1,10.0,10386.292647129701,False,Success,331.4020705909934
12,40,0.002811768697974231,2.222996482526191e+22,10328.170533926304,1,10.0,10328.170533926304,False,Success,305.7260123610031
13,38,0.004498432668969444,9.540954763499963e+21,10736.729610631717,1,10.0,10736.729610631717,False,Success,346.4244141970412
13,39,0.004498432668969444,1.4563484775012385e+22,10007.471201536026,1,10.0,10007.471201536026,False,Success,349.62837260297965
13,40,0.004498432668969444,2.222996482526191e+22,10005.564180488092,1,10.0,10005.564180488092,False,Success,310.7989046120201
14,38,0.0071968567300115215,9.540954763499963e+21,10394.593382940142,1,10.0,10394.593382940142,False,Success,352.1736010930035
14,39,0.0071968567300115215,1.4563484775012385e+22,9398.947696228464,1,10.0,9398.947696228464,False,Success,343.6264631100348
14,40,0.0071968567300115215,2.222996482526191e+22,9522.428873724613,1,10.0,9522.428873724613,False,Success,303.8983446030179
15,38,0.011513953993264481,9.540954763499963e+21,9889.678121125879,1,10.0,9889.678121125879,False,Success,335.739300027024
15,39,0.011513953993264481,1.4563484775012385e+22,6971.970537176193,1,10.0,6971.970537176193,False,Success,335.24889976897975
15,40,0.011513953993264481,2.222996482526191e+22,8356.347468884946,1,10.0,8356.347468884946,False,Success,322.97440214600647
16,37,0.018420699693267165,6.250551925273976e+21,10977.018439241301,1,10.0,10977.018439241301,False,Success,350.83788810903206
16,38,0.018420699693267165,9.540954763499963e+21,8767.973266842348,1,10.0,8767.973266842348,False,Success,353.87021376698976
16,39,0.018420699693267165,1.4563484775012385e+22,983.8515121202348,1,10.0,983.8515121202348,False,Success,365.10707856499357
16,40,0.018420699693267165,2.222996482526191e+22,2699.353294066906,1,10.0,2699.353294066906,False,Success,351.53623052703915
17,37,0.029470517025518096,6.250551925273976e+21,10586.821282724577,1,10.0,10586.821282724577,False,Success,360.4188608760014
17,38,0.029470517025518096,9.540954763499963e+21,2604.1336229118724,1,10.0,2604.1336229118724,False,Success,380.5095408160123
17,40,0.029470517025518096,2.222996482526191e+22,281.1164415617239,1,10.0,281.1164415617239,False,Success,316.6423505549901
18,37,0.04714866363457394,6.250551925273976e+21,9917.651246977422,1,10.0,9917.651246977422,False,Success,342.8039146849769
19,0,0.07543120063354623,1000000000000000.0,14294.793618255157,1,10.0,14294.793618255157,False,Success,308.4025668009999
19,1,0.07543120063354623,1526417967175236.5,14294.79280073575,1,10.0,14294.79280073575,False,Success,310.21176890895003
19,2,0.07543120063354623,2329951810515372.0,14294.791646886739,1,10.0,14294.791646886739,False,Success,314.3258423520019
19,3,0.07543120063354623,3556480306223136.0,14294.78958910607,1,10.0,14294.78958910607,False,Success,306.25380546500674
19,4,0.07543120063354623,5428675439323859.0,14294.786645869184,1,10.0,14294.786645869184,False,Success,319.217288563028
19,5,0.07543120063354623,8286427728546859.0,14294.782123927209,1,10.0,14294.782123927209,False,Success,307.9210591400042
19,6,0.07543120063354623,1.264855216855301e+16,14294.77519211976,1,10.0,14294.77519211976,False,Success,312.05563246802194
19,7,0.07543120063354623,1.9306977288832456e+16,14294.764695432526,1,10.0,14294.764695432526,False,Success,318.36444661795394
19,8,0.07543120063354623,2.9470517025518096e+16,14294.748604966884,1,10.0,14294.748604966884,False,Success,306.75549790100195
19,9,0.07543120063354623,4.498432668969453e+16,14294.724080638052,1,10.0,14294.724080638052,False,Success,321.12570225802483
19,10,0.07543120063354623,6.8664884500430264e+16,14294.686628466321,1,10.0,14294.686628466321,False,Success,317.40999140101485
19,11,0.07543120063354623,1.048113134154683e+17,14294.629408278031,1,10.0,14294.629408278031,False,Success,320.78305504098535
19,12,0.07543120063354623,1.5998587196060573e+17,14294.54219312128,1,10.0,14294.54219312128,False,Success,320.6224291449762
19,13,0.07543120063354623,2.4420530945486547e+17,14294.408863073739,1,10.0,14294.408863073739,False,Success,315.2225817620056
19,14,0.07543120063354623,3.727593720314953e+17,14294.205305721682,1,10.0,14294.205305721682,False,Success,315.17367685300997
19,15,0.07543120063354623,5.6898660290182816e+17,14293.894310075062,1,10.0,14293.894310075062,False,Success,313.9032647749991
19,16,0.07543120063354623,8.68511373751352e+17,14293.419157351354,1,10.0,14293.419157351354,False,Success,313.2772953559761
19,17,0.07543120063354623,1.325711365590111e+18,14292.692594805443,1,10.0,14292.692594805443,False,Success,316.77821967500495
19,18,0.07543120063354623,2.0235896477251638e+18,14291.580537345411,1,10.0,14291.580537345411,False,Success,316.373093126982
19,19,0.07543120063354623,3.0888435964774723e+18,14289.87597632658,1,10.0,14289.87597632658,False,Success,288.3302294840105
19,20,0.07543120063354623,4.71486636345739e+18,14287.257057364654,1,10.0,14287.257057364654,False,Success,273.3909323970438
19,21,0.07543120063354623,7.196856730011528e+18,14283.217375994956,1,10.0,14283.217375994956,False,Success,241.68391002999851
19,22,0.07543120063354623,1.0985411419875617e+19,14276.945055742382,1,10.0,14276.945055742382,False,Success,185.93012921098853
19,23,0.07543120063354623,1.676832936811003e+19,14267.087790202437,1,10.0,14267.087790202437,False,Success,174.49201818398433
19,24,0.07543120063354623,2.559547922699533e+19,14251.206299215404,1,10.0,14251.206299215404,False,Success,146.91756045399234
19,25,0.07543120063354623,3.906939937054621e+19,14223.889469020722,1,10.0,14223.889469020722,False,Success,131.3468048789655
19,26,0.07543120063354623,5.963623316594661e+19,14156.956967398019,1,10.0,14156.956967398019,False,Success,130.29437141504604
19,37,0.07543120063354623,6.250551925273976e+21,7171.33649232747,1,10.0,7171.33649232747,False,Success,151.75295702001313
20,0,0.1206792640639329,1000000000000000.0,14133.074721149796,1,10.0,14133.074721149796,False,Success,316.4540536200511
20,1,0.1206792640639329,1526417967175236.5,14133.074114166975,1,10.0,14133.074114166975,False,Success,319.2248269779957
20,2,0.1206792640639329,2329951810515372.0,14133.073180646315,1,10.0,14133.073180646315,False,Success,325.12151904497296
20,3,0.1206792640639329,3556480306223136.0,14133.071764445003,1,10.0,14133.071764445003,False,Success,319.21613735402934
20,4,0.1206792640639329,5428675439323859.0,14133.06957499355,1,10.0,14133.06957499355,False,Success,325.2292828219943
20,5,0.1206792640639329,8286427728546859.0,14133.066265471476,1,10.0,14133.066265471476,False,Success,312.8994767530239
20,6,0.1206792640639329,1.264855216855301e+16,14133.061200324417,1,10.0,14133.061200324417,False,Success,327.2645984570263
20,7,0.1206792640639329,1.9306977288832456e+16,14133.05345669727,1,10.0,14133.05345669727,False,Success,327.8329407380079
20,8,0.1206792640639329,2.9470517025518096e+16,14133.041656146897,1,10.0,14133.041656146897,False,Success,320.82088605698664
20,9,0.1206792640639329,4.498432668969453e+16,14133.023643528413,1,10.0,14133.023643528413,False,Success,325.5409797260072
20,10,0.1206792640639329,6.8664884500430264e+16,14132.996146071251,1,10.0,14132.996146071251,False,Success,329.5488382129697
20,11,0.1206792640639329,1.048113134154683e+17,14132.95417113693,1,10.0,14132.95417113693,False,Success,326.49022102198796
20,12,0.1206792640639329,1.5998587196060573e+17,14132.890078006865,1,10.0,14132.890078006865,False,Success,328.44566729897633
20,13,0.1206792640639329,2.4420530945486547e+17,14132.792275394426,1,10.0,14132.792275394426,False,Success,324.7697133210022
20,14,0.1206792640639329,3.727593720314953e+17,14132.64296633606,1,10.0,14132.64296633606,False,Success,324.08060142595787
20,15,0.1206792640639329,5.6898660290182816e+17,14132.415020929991,1,10.0,14132.415020929991,False,Success,323.151827469992
20,16,0.1206792640639329,8.68511373751352e+17,14132.0671437769,1,10.0,14132.0671437769,False,Success,323.93772624299163
20,17,0.1206792640639329,1.325711365590111e+18,14131.536037251737,1,10.0,14131.536037251737,False,Success,330.45055534498533
20,18,0.1206792640639329,2.0235896477251638e+18,14130.72521882813,1,10.0,14130.72521882813,False,Success,312.5555918979808
20,19,0.1206792640639329,3.0888435964774723e+18,14129.487269913372,1,10.0,14129.487269913372,False,Success,293.8230032499996
20,20,0.1206792640639329,4.71486636345739e+18,14127.597035752447,1,10.0,14127.597035752447,False,Success,258.09049973997753
20,21,0.1206792640639329,7.196856730011528e+18,14124.710194037307,1,10.0,14124.710194037307,False,Success,207.62236384197604
20,22,0.1206792640639329,1.0985411419875617e+19,14120.300048889341,1,10.0,14120.300048889341,False,Success,192.30600919999415
20,23,0.1206792640639329,1.676832936811003e+19,14113.559903754573,1,10.0,14113.559903754573,False,Success,159.8233018029714
20,36,0.1206792640639329,4.094915062380419e+21,10101.658089384056,1,10.0,10101.658089384056,False,Success,156.39636026101653
20,37,0.1206792640639329,6.250551925273976e+21,1614.2825523889999,1,10.0,1614.2825523889999,False,Success,170.66151470097248
21,0,0.19306977288832497,1000000000000000.0,13709.715378566867,1,10.0,13709.715378566867,False,Success,315.64748123002937
21,1,0.19306977288832497,1526417967175236.5,13709.714717945239,1,10.0,13709.714717945239,False,Success,321.0591112119728
21,2,0.19306977288832497,2329951810515372.0,13709.713696705121,1,10.0,13709.713696705121,False,Success,323.65020293398993
21,3,0.19306977288832497,3556480306223136.0,13709.712146865893,1,10.0,13709.712146865893,False,Success,318.1927868889761
21,4,0.19306977288832497,5428675439323859.0,13709.709745788003,1,10.0,13709.709745788003,False,Success,323.04304655099986
21,5,0.19306977288832497,8286427728546859.0,13709.70617842874,1,10.0,13709.70617842874,False,Success,314.01634718000423
21,6,0.19306977288832497,1.264855216855301e+16,13709.700670144275,1,10.0,13709.700670144275,False,Success,326.2221335080103
21,7,0.19306977288832497,1.9306977288832456e+16,13709.69222905873,1,10.0,13709.69222905873,False,Success,327.4963495010161
21,8,0.19306977288832497,2.9470517025518096e+16,13709.679413967557,1,10.0,13709.679413967557,False,Success,320.36403056501877
21,9,0.19306977288832497,4.498432668969453e+16,13709.659835145054,1,10.0,13709.659835145054,False,Success,326.7506897490239
21,10,0.19306977288832497,6.8664884500430264e+16,13709.629937495267,1,10.0,13709.629937495267,False,Success,330.2536539870198
21,11,0.19306977288832497,1.048113134154683e+17,13709.584292811527,1,10.0,13709.584292811527,False,Success,324.70577160600806
21,12,0.19306977288832497,1.5998587196060573e+17,13709.514605754262,1,10.0,13709.514605754262,False,Success,328.8180207670084
21,13,0.19306977288832497,2.4420530945486547e+17,13709.408249820764,1,10.0,13709.408249820764,False,Success,325.6242621190031
21,14,0.19306977288832497,3.727593720314953e+17,13709.245919097653,1,10.0,13709.245919097653,False,Success,324.4352809640113
21,15,0.19306977288832497,5.6898660290182816e+17,13708.998064304635,1,10.0,13708.998064304635,False,Success,321.23716391599737
21,16,0.19306977288832497,8.68511373751352e+17,13708.619754119865,1,10.0,13708.619754119865,False,Success,324.23382023896556
21,17,0.19306977288832497,1.325711365590111e+18,13708.042245295686,1,10.0,13708.042245295686,False,Success,328.0705543180229
21,18,0.19306977288832497,2.0235896477251638e+18,13707.160526138154,1,10.0,13707.160526138154,False,Success,311.60548667097464
21,19,0.19306977288832497,3.0888435964774723e+18,13705.814213412015,1,10.0,13705.814213412015,False,Success,294.922447414021
21,20,0.19306977288832497,4.71486636345739e+18,13703.758200897557,1,10.0,13703.758200897557,False,Success,256.7551719539915
21,21,0.19306977288832497,7.196856730011528e+18,13700.617619230346,1,10.0,13700.617619230346,False,Success,209.3991063950234
21,22,0.19306977288832497,1.0985411419875617e+19,13695.818435817131,1,10.0,13695.818435817131,False,Success,190.91787254199153
21,23,0.19306977288832497,1.676832936811003e+19,13688.480284162762,1,10.0,13688.480284162762,False,Success,156.14314725901932
21,24,0.19306977288832497,2.559547922699533e+19,13677.249252426056,1,10.0,13677.249252426056,False,Success,139.25883224903373
21,25,0.19306977288832497,3.906939937054621e+19,13660.034055420068,1,10.0,13660.034055420068,False,Success,135.1441143300035
21,26,0.19306977288832497,5.963623316594661e+19,13633.5803449559,1,10.0,13633.5803449559,False,Success,137.270799009013
21,27,0.19306977288832497,9.102981779915265e+19,13592.756978597934,1,10.0,13592.756978597934,False,Success,135.77253817702876
21,28,0.19306977288832497,1.389495494373136e+20,13529.256666177887,1,10.0,13529.256666177887,False,Success,131.93331169895828
21,29,0.19306977288832497,2.1209508879201927e+20,13428.875468565653,1,10.0,13428.875468565653,False,Success,116.9076568330056
21,36,0.19306977288832497,4.094915062380419e+21,6956.301916766102,1,10.0,6956.301916766102,False,Success,130.57298745500157
21,37,0.19306977288832497,6.250551925273976e+21,185.06894243732248,1,10.0,185.06894243732248,False,Success,137.8325261689606
22,0,0.30888435964774846,1000000000000000.0,13061.736664076574,1,10.0,13061.736664076574,False,Success,309.7452942439704
22,1,0.30888435964774846,1526417967175236.5,13061.735704806742,1,10.0,13061.735704806742,False,Success,308.1803234429681
22,2,0.30888435964774846,2329951810515372.0,13061.734253005046,1,10.0,13061.734253005046,False,Success,310.020572540001
22,3,0.30888435964774846,3556480306223136.0,13061.732015382036,1,10.0,13061.732015382036,False,Success,308.51427847199375
22,4,0.30888435964774846,5428675439323859.0,13061.728616015733,1,10.0,13061.728616015733,False,Success,311.96619196695974
22,5,0.30888435964774846,8286427728546859.0,13061.723426582668,1,10.0,13061.723426582668,False,Success,305.19956040999386
22,6,0.30888435964774846,1.264855216855301e+16,13061.715496494257,1,10.0,13061.715496494257,False,Success,316.775660054991
22,7,0.30888435964774846,1.9306977288832456e+16,13061.703376634716,1,10.0,13061.703376634716,False,Success,316.93379108502995
22,8,0.30888435964774846,2.9470517025518096e+16,13061.684935815905,1,10.0,13061.684935815905,False,Success,308.5599202149897
22,9,0.30888435964774846,4.498432668969453e+16,13061.656747874913,1,10.0,13061.656747874913,False,Success,313.9610863249982
22,10,0.30888435964774846,6.8664884500430264e+16,13061.613722804494,1,10.0,13061.613722804494,False,Success,315.67356395500246
22,11,0.30888435964774846,1.048113134154683e+17,13061.548038383004,1,10.0,13061.548038383004,False,Success,314.01688941998873
22,12,0.30888435964774846,1.5998587196060573e+17,13061.447760744793,1,10.0,13061.447760744793,False,Success,316.39355333097046
22,13,0.30888435964774846,2.4420530945486547e+17,13061.29469359883,1,10.0,13061.29469359883,False,Success,312.3288173599867
22,14,0.30888435964774846,3.727593720314953e+17,13061.060968793088,1,10.0,13061.060968793088,False,Success,313.0678953930037
22,15,0.30888435964774846,5.6898660290182816e+17,13060.704090834135,1,10.0,13060.704090834135,False,Success,309.6976967190276
22,16,0.30888435964774846,8.68511373751352e+17,13060.159042364976,1,10.0,13060.159042364976,False,Success,311.23681923601544
22,17,0.30888435964774846,1.325711365590111e+18,13059.326300463272,1,10.0,13059.326300463272,False,Success,313.26144903799286
22,18,0.30888435964774846,2.0235896477251638e+18,13058.053627891233,1,10.0,13058.053627891233,False,Success,312.2464225470321
22,19,0.30888435964774846,3.0888435964774723e+18,13056.107089685376,1,10.0,13056.107089685376,False,Success,283.58615459298017
22,36,0.30888435964774846,4.094915062380419e+21,1652.363000131101,1,10.0,1652.363000131101,False,Success,221.56250898400322
45,48,15264.179671752365,6.551285568595496e+23,103207.73573800422,1,10.0,103207.73573800422,False,Success,64.0436849980033
